seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31896,2025,4904,Alperen Şengün,NA,C,22,4,NBA,HOU,76,76,2395,8.5,17.2,0.496,0.3,1.4,0.233,8.2,15.8,0.519,4.4,6.4,0.692,3.9,7.9,11.8,5.6,1.3,0.9,2.9,3.1,21.8
31897,2025,5113,Amen Thompson,NA,SF,22,2,NBA,HOU,69,42,2225,6.3,11.3,0.557,0.4,1.5,0.275,5.9,9.8,0.599,2.7,4,0.684,3.1,6,9.1,4.3,1.6,1.4,2.2,2.7,15.7
31898,2025,4690,Amir Coffey,NA,SG,27,6,NBA,LAC,72,13,1748,4.9,10.5,0.471,2.1,5.1,0.409,2.9,5.4,0.529,2.4,2.7,0.891,0.7,2.7,3.3,1.6,0.8,0.1,0.9,2.5,14.3
31899,2025,4064,Andre Drummond,NA,C,31,13,NBA,PHI,40,23,751,5.6,11.2,0.5,0.1,1,0.15,5.5,10.3,0.533,2.7,4.3,0.622,5.2,9.6,14.9,1.6,1.9,0.9,2.6,4.5,14
31900,2025,5114,Andre Jackson Jr.,NA,SG,23,2,NBA,MIL,67,43,980,3.5,7.2,0.477,1.1,2.8,0.395,2.4,4.4,0.529,0.4,0.9,0.5,2.4,4.3,6.7,3,1.2,0.5,2.1,4.2,8.4
31901,2025,5029,Andrew Nembhard,NA,SG,25,3,NBA,IND,65,65,1881,4.7,10.3,0.458,1,3.3,0.291,3.8,7,0.538,2.1,2.6,0.794,0.7,3.5,4.1,6.2,1.5,0.2,2.1,2.9,12.5
31902,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,TOT,60,60,1842,7.3,16.4,0.448,2.5,6.8,0.374,4.8,9.6,0.501,3.8,5,0.763,1.7,3.5,5.3,3.1,1.2,1,1.9,2,21.1
31903,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,GSW,43,43,1296,7.2,16.3,0.444,2.6,6.9,0.379,4.6,9.4,0.491,3.9,5,0.777,1.8,3.6,5.5,2.8,1.1,0.9,1.6,1.9,21
31904,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,MIA,17,17,546,7.6,16.5,0.458,2.4,6.6,0.36,5.2,10,0.523,3.8,5.1,0.731,1.5,3.2,4.7,3.7,1.3,1.1,2.8,2,21.3
31905,2025,4586,Anfernee Simons,NA,SG,25,7,NBA,POR,70,70,2292,7.5,17.7,0.426,3.4,9.3,0.363,4.1,8.4,0.496,2.7,3,0.902,0.4,2.6,3,5.3,0.9,0.1,2.2,1.8,21.2
31906,2025,5116,Anthony Black,NA,PG,21,2,NBA,ORL,78,10,1887,5,11.8,0.423,1.2,3.7,0.318,3.8,8.1,0.471,2.9,3.8,0.761,1,3.4,4.4,4.6,1.6,0.9,2.7,3.2,14
31907,2025,4066,Anthony Davis,NA,PF,31,13,NBA,TOT,51,51,1706,9.9,19.2,0.516,0.7,2.6,0.282,9.2,16.6,0.553,6,7.8,0.775,2.8,9.6,12.5,3.8,1.2,2.3,2.4,2.1,26.6
31908,2025,4066,Anthony Davis,NA,C,31,13,NBA,LAL,42,42,1440,10,18.9,0.528,0.7,2.3,0.298,9.3,16.6,0.56,6.3,8,0.788,3,9.5,12.5,3.5,1.4,2.3,2.3,2,27
31909,2025,4066,Anthony Davis,NA,PF,31,13,NBA,DAL,9,9,266,9.5,20.6,0.461,0.9,4.1,0.233,8.5,16.5,0.516,4.5,6.5,0.688,2,10.3,12.3,5.4,0.7,2.7,2.7,2.2,24.4
31910,2025,4808,Anthony Edwards,NA,SG,23,5,NBA,MIN,79,79,2871,9,20.2,0.447,4,10.2,0.395,5,10,0.501,5.2,6.2,0.837,0.8,4.9,5.6,4.5,1.1,0.6,3.1,1.9,27.3
31911,2025,4809,Anthony Gill,NA,PF,32,5,NBA,WAS,51,0,397,3.9,8,0.489,0.9,2.8,0.323,3,5.2,0.579,3,4.5,0.66,1.6,4.4,6,1.5,0.8,0.2,0.9,2.7,11.7
31912,2025,5216,Anton Watson,NA,SF,24,1,NBA,NYK,9,0,22,6.5,14.7,0.444,0,1.6,0,6.5,13.1,0.5,0,0,NA,1.6,3.3,4.9,3.3,1.6,0,3.3,4.9,13.1
